                              GENEMARK PREDICTIONS

Sequence: phi4:1 length=146105
Sequence file: /Users/mbsulli/neofelis/genomes/Phi-4-1.fas
Sequence length: 146105
GC Content:  32.62%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 32
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
  129677    130417  complement  fr 1   0.71  0.46  
  129677    130399  complement  fr 1   0.73  0.95  
  129677    130360  complement  fr 1   0.75  0.12  
  129677    130327  complement  fr 1   0.74  0.10  
  129677    130297  complement  fr 1   0.73  0.01  

  130380    130853  complement  fr 2   0.78  0.09  
  130380    130610  complement  fr 2   0.78  0.02  
  130380    130556  complement  fr 2   0.72  0.52  
  130380    130547  complement  fr 2   0.70  0.66  

  130819    131049  complement  fr 3   0.56  0.02  
  130819    130989  complement  fr 3   0.66  0.80  

  131033    131647  complement  fr 1   0.81  0.65  
  131033    131638  complement  fr 1   0.82  0.56  
  131033    131584  complement  fr 1   0.86  0.18  
  131033    131521  complement  fr 1   0.86  0.07  
  131033    131257  complement  fr 1   0.73  0.11  

  131625    132101  complement  fr 2   0.83  0.39  
  131625    131894  complement  fr 2   0.77  0.66  
  131625    131798  complement  fr 2   0.68  0.04  

  132254    133510  complement  fr 1   0.90  0.15  
  132254    133438  complement  fr 1   0.89  0.58  
  132254    133183  complement  fr 1   0.89  0.06  
  132254    132952  complement  fr 1   0.90  0.03  

  133557    133961  complement  fr 2   0.67  0.00  
  133557    133757  complement  fr 2   0.69  0.04  

  133843    134139  complement  fr 3   0.65  0.25  

  134108    135415  complement  fr 1   0.92  0.31  
  134108    135364  complement  fr 1   0.91  0.09  
  134108    135238  complement  fr 1   0.91  0.02  

  135432    135731  complement  fr 2   0.75  0.96  
  135432    135590  complement  fr 2   0.69  0.01  
  135432    135533  complement  fr 2   0.55  0.86  

  135777    135992  complement  fr 2   0.71  0.05  

  136000    136422  complement  fr 3   0.66  0.09  
  136000    136359  complement  fr 3   0.62  0.08  
  136000    136233  complement  fr 3   0.55  0.10  

  136905    137114  complement  fr 2   0.57  0.58  
  136905    137102  complement  fr 2   0.60  0.76  
  136905    137087  complement  fr 2   0.68  0.89  
  136905    137084  complement  fr 2   0.68  0.68  
  136905    137081  complement  fr 2   0.68  0.71  

  137020    137199  complement  fr 3   0.52  0.55  

  137141    137461  complement  fr 1   0.80  0.20  

  137523    138659  complement  fr 2   0.90  0.03  
  137523    138653  complement  fr 2   0.90  0.49  
  137523    138338  complement  fr 2   0.91  0.22  
  137523    138317  complement  fr 2   0.90  0.32  
  137523    138143  complement  fr 2   0.89  0.48  

  138731    139834  complement  fr 1   0.90  0.11  
  138731    139393  complement  fr 1   0.91  0.10  
  138731    139339  complement  fr 1   0.90  0.27  
  138731    139180  complement  fr 1   0.87  0.16  

  139938    140186  complement  fr 2   0.74  0.00  
  139938    140138  complement  fr 2   0.69  0.31  
  139938    140126  complement  fr 2   0.67  0.12  

  140245    140586  complement  fr 3   0.66  0.96  
  140245    140580  complement  fr 3   0.68  0.94  
  140245    140403  complement  fr 3   0.64  0.38  

  140513    140830  complement  fr 1   0.76  0.04  
  140513    140815  complement  fr 1   0.76  0.13  

  141027    142262  complement  fr 2   0.85  0.10  
  141027    142229  complement  fr 2   0.88  0.06  
  141027    142217  complement  fr 2   0.89  0.06  
  141027    142118  complement  fr 2   0.94  0.51  
  141027    141785  complement  fr 2   0.92  0.38  
  141027    141725  complement  fr 2   0.91  0.01  

  142015    142581  complement  fr 3   0.58  0.16  
  142015    142473  complement  fr 3   0.61  0.96  
  142015    142464  complement  fr 3   0.60  0.94  
  142015    142419  complement  fr 3   0.56  0.02  

  142581    142904  complement  fr 2   0.74  0.04  

  142939    143721  complement  fr 3   0.86  0.63  
  142939    143715  complement  fr 3   0.86  0.58  
  142939    143700  complement  fr 3   0.87  0.62  
  142939    143634  complement  fr 3   0.86  0.12  
  142939    143421  complement  fr 3   0.86  0.78  

  143648    144358  complement  fr 1   0.79  0.00  
  143648    144175  complement  fr 1   0.82  0.62  
  143648    143821  complement  fr 1   0.56  0.77  

  144469    144804  complement  fr 3   0.72  0.79  
  144469    144693  complement  fr 3   0.72  0.10  

  144851    144979  complement  fr 1   0.57  0.00  
  144851    144973  complement  fr 1   0.57  0.05  

  145134    146105  complement  fr 2   0.77  ....  
  145134    146084  complement  fr 2   0.77  ....  
  145134    145805  complement  fr 2   0.76  0.04  

List of Regions of interest
(regions from stop to stop codon w/ a signal in between)

   LEnd      REnd    Strand      Frame
 --------  --------  ----------- -----
        4       465  complement  fr 3
      425      1510  complement  fr 1
     1446      1967  complement  fr 2
     1897      3108  complement  fr 3
     3038      4594  complement  fr 1
     4578      5642  complement  fr 2
     5667      6503  complement  fr 2
     6549      6785  complement  fr 2
     6709      6990  complement  fr 3
     6978      7673  complement  fr 2
     7767      8834  complement  fr 2
     7936      8103  direct      fr 1
     8785      9207  complement  fr 3
     9205     11046  complement  fr 3
    10187     10732  direct      fr 2
    11021     11446  complement  fr 1
    11552     12232  complement  fr 1
    12195     13430  complement  fr 2
    13324     14133  complement  fr 3
    13895     14374  complement  fr 1
    14356     15432  complement  fr 3
    15389     16984  complement  fr 1
    16989     17918  complement  fr 2
    17587     17838  direct      fr 1
    17851     18165  complement  fr 3
    18132     18344  direct      fr 3
    18137     18832  complement  fr 1
    18501     18794  direct      fr 3
    18847     20076  complement  fr 3
    19523     19792  direct      fr 2
    19997     21721  complement  fr 1
    21728     21997  direct      fr 2
    21727     22008  complement  fr 3
    21947     22594  complement  fr 1
    22554     22694  complement  fr 2
    22672     24627  complement  fr 3
    24625     25179  complement  fr 3
    25186     25599  complement  fr 3
    25581     25889  complement  fr 2
    25883     26410  complement  fr 1
    26400     26639  complement  fr 2
    26611     26886  complement  fr 3
    26904     27077  complement  fr 2
    27005     27172  direct      fr 2
    27259     27753  complement  fr 3
    27741     28253  complement  fr 2
    28241     28591  complement  fr 1
    28605     30572  complement  fr 2
    29170     29349  direct      fr 1
    30589     31215  complement  fr 3
    31250     32266  complement  fr 1
    32384     33601  complement  fr 1
    33543     33905  complement  fr 2
    33854     34129  complement  fr 1
    34252     35307  complement  fr 3
    35383     37563  complement  fr 3
    37520     38080  complement  fr 1
    38192     38491  complement  fr 1
    38466     39011  complement  fr 2
    38998     39192  complement  fr 3
    39155     39715  complement  fr 1
    39679     40362  complement  fr 3
    40349     40588  complement  fr 1
    40563     40808  complement  fr 2
    40799     40969  complement  fr 1
    40908     41378  complement  fr 2
    41269     41475  complement  fr 3
    41466     42455  complement  fr 2
    42424     42597  complement  fr 3
    42515     42688  complement  fr 1
    42651     42899  complement  fr 2
    42897     43340  complement  fr 2
    43472     43756  direct      fr 2
    43507     43755  complement  fr 3
    44302     44478  direct      fr 1
    44966     45211  direct      fr 2
    45229     45486  direct      fr 1
    47931     48089  complement  fr 2
    49262     50542  direct      fr 2
    49402     49629  complement  fr 3
    50642     51007  direct      fr 2
    50973     51122  direct      fr 3
    51183     51431  direct      fr 3
    51547     51921  direct      fr 1
    51900     52409  direct      fr 3
    52384     52755  direct      fr 1
    52816     53241  direct      fr 1
    53239     54258  direct      fr 1
    54430     54699  direct      fr 1
    54524     54925  direct      fr 2
    54832     55911  direct      fr 1
    55952     56092  direct      fr 2
    56067     56381  direct      fr 3
    56383     57159  direct      fr 1
    57219     57581  direct      fr 3
    57559     57786  direct      fr 1
    57840     58130  direct      fr 3
    58105     58308  direct      fr 1
    58408     58626  direct      fr 1
    58611     58844  direct      fr 3
    58894     59232  direct      fr 1
    59214     59486  direct      fr 3
    59474     59713  direct      fr 2
    59704     60180  direct      fr 1
    60138     60344  direct      fr 3
    60375     60689  direct      fr 3
    60791     61078  direct      fr 2
    61069     61332  direct      fr 1
    61317     61706  direct      fr 3
    61955     62362  direct      fr 2
    62349     62666  direct      fr 3
    62920     63126  direct      fr 1
    63165     63335  direct      fr 3
    63407     63559  direct      fr 2
    63569     63784  direct      fr 2
    63753     63980  direct      fr 3
    64049     64813  direct      fr 2
    64788     65066  direct      fr 3
    65438     65683  direct      fr 2
    65670     66149  direct      fr 3
    66249     66578  direct      fr 3
    66553     66918  direct      fr 1
    66903     67193  direct      fr 3
    67183     67344  direct      fr 1
    67604     67882  direct      fr 2
    67848     68060  direct      fr 3
    68058     68303  direct      fr 3
    68179     68445  direct      fr 1
    68423     68698  direct      fr 2
    68671     69237  direct      fr 1
    69275     69490  direct      fr 2
    69426     69656  direct      fr 3
    69620     69877  direct      fr 2
    70075     70404  direct      fr 1
    70275     70763  direct      fr 3
    70654     71259  direct      fr 1
    71328     71504  direct      fr 3
    71516     72028  direct      fr 2
    71979     72149  direct      fr 3
    72147     72335  direct      fr 3
    72299     72511  direct      fr 2
    72453     72986  direct      fr 3
    73356     73679  direct      fr 3
    73670     74113  direct      fr 2
    74128     74316  direct      fr 1
    74314     74928  direct      fr 1
    74934     75659  direct      fr 3
    75735     76568  direct      fr 3
    76559     77155  direct      fr 2
    77171     77464  direct      fr 2
    77539     77790  direct      fr 1
    77688     78383  direct      fr 3
    78365     78574  direct      fr 2
    78572     78823  direct      fr 2
    78777     78914  direct      fr 3
    78899     79207  direct      fr 2
    79229     79432  direct      fr 2
    79374     79616  direct      fr 3
    79614     79763  direct      fr 3
    79678     79866  direct      fr 1
    79754     80059  direct      fr 2
    80184     80531  direct      fr 3
    80464     80871  direct      fr 1
    81060     81422  direct      fr 3
    81532     81780  direct      fr 1
    81792     82292  direct      fr 3
    82326     83321  direct      fr 3
    83300     83533  direct      fr 2
    83499     84020  direct      fr 3
    84104     84481  complement  fr 1
    84195     84401  direct      fr 3
    84577     85362  direct      fr 1
    85465     86466  direct      fr 1
    86705     86962  complement  fr 1
    86808     87152  direct      fr 3
    87157     87537  direct      fr 1
    87588     88313  direct      fr 3
    88412     88798  direct      fr 2
    88764     89036  direct      fr 3
    89020     89307  direct      fr 1
    89297     89446  direct      fr 2
    89466     89726  complement  fr 2
    89660     90400  direct      fr 2
    90436     90648  direct      fr 1
    90649     91914  direct      fr 1
    91841     92068  direct      fr 2
    92052     92336  direct      fr 3
    92416     92985  direct      fr 1
    93059     93415  direct      fr 2
    93403     95130  direct      fr 1
    95108     95566  direct      fr 2
    95658     95969  direct      fr 3
    95963     96406  direct      fr 2
    96427     96795  direct      fr 1
    96851     97237  direct      fr 2
    97188     97448  direct      fr 3
    97606     97866  direct      fr 1
    97932     98147  direct      fr 3
    98158     98532  direct      fr 1
    98609     98896  direct      fr 2
    98904     99059  direct      fr 3
    99092     99358  direct      fr 2
    99267     99506  direct      fr 3
    99460     99648  direct      fr 1
    99694     99921  direct      fr 1
   100055    100252  direct      fr 2
   100203    100406  direct      fr 3
   100375    100653  direct      fr 1
   100623    100784  direct      fr 3
   100760    100993  direct      fr 2
   100977    101240  direct      fr 3
   101158    101592  direct      fr 1
   101590    101925  direct      fr 1
   101906    102262  direct      fr 2
   102246    102662  direct      fr 3
   102506    102733  complement  fr 1
   102774    102959  direct      fr 3
   102886    103056  direct      fr 1
   103043    103645  direct      fr 2
   103639    103851  direct      fr 1
   103802    104407  direct      fr 2
   104422    104997  direct      fr 1
   104945    105508  direct      fr 2
   105499    105750  direct      fr 1
   105737    106177  direct      fr 2
   106188    106700  direct      fr 3
   106675    107010  direct      fr 1
   106904    107134  direct      fr 2
   107154    107306  direct      fr 3
   107432    108250  direct      fr 2
   108207    109811  direct      fr 3
   109826    110224  direct      fr 2
   110246    110605  direct      fr 2
   110580    110876  direct      fr 3
   110857    111591  direct      fr 1
   111297    111497  complement  fr 2
   111682    111978  direct      fr 1
   112014    112493  direct      fr 3
   112417    112695  direct      fr 1
   112676    113458  direct      fr 2
   113445    113717  direct      fr 3
   113657    115033  direct      fr 2
   113854    114069  complement  fr 3
   115094    115351  direct      fr 2
   115216    115680  direct      fr 1
   115671    115943  direct      fr 3
   116011    116277  direct      fr 1
   116010    116399  complement  fr 2
   116369    116605  complement  fr 1
   116770    117207  complement  fr 3
   117185    117535  complement  fr 1
   117507    118784  complement  fr 2
   118800    119405  complement  fr 2
   119377    120249  complement  fr 3
   120215    120637  complement  fr 1
   120552    120695  complement  fr 2
   120697    121641  complement  fr 3
   121598    121867  complement  fr 1
   121930    122103  complement  fr 3
   122066    122602  complement  fr 1
   122577    122735  complement  fr 2
   122677    122910  complement  fr 3
   122867    123034  complement  fr 1
   123010    123171  complement  fr 3
   123089    123340  complement  fr 1
   123393    124289  complement  fr 2
   124249    125322  complement  fr 3
   125240    125713  complement  fr 1
   125682    128750  complement  fr 2
   128710    129150  complement  fr 3
   129153    129494  complement  fr 2
   129535    129699  complement  fr 3
   129677    130423  complement  fr 1
   130380    130859  complement  fr 2
   130819    131067  complement  fr 3
   131033    131653  complement  fr 1
   131625    132170  complement  fr 2
   132145    132318  complement  fr 3
   132254    133609  complement  fr 1
   133557    133967  complement  fr 2
   133843    134157  complement  fr 3
   134108    135481  complement  fr 1
   135432    135749  complement  fr 2
   135777    136100  complement  fr 2
   136000    136827  complement  fr 3
   136905    137132  complement  fr 2
   137020    137301  complement  fr 3
   137141    137545  complement  fr 1
   137523    138662  complement  fr 2
   138607    138786  complement  fr 3
   138731    139840  complement  fr 1
   139938    140270  complement  fr 2
   140245    140613  complement  fr 3
   140513    140944  complement  fr 1
   140755    141114  complement  fr 3
   141027    142283  complement  fr 2
   142015    142596  complement  fr 3
   142581    142964  complement  fr 2
   142939    143751  complement  fr 3
   143648    144457  complement  fr 1
   144372    144524  complement  fr 2
   144469    144825  complement  fr 3
   144851    145180  complement  fr 1
   145134    146105  complement  fr 2

POSSIBLE SEQUENCE FRAMESHIFTS DETECTED
 From   To
 Frame  Frame  At base...
 -----  -----  ----------
   1      3         3096 +/- 11 bp  (complement)
   1      3        13980 +/- 11 bp  (complement)
   3      1        68220 +/- 11 bp  (direct)
   2      3        99276 +/- 11 bp  (direct)
   2      1       115296 +/- 11 bp  (direct)
   3      2       133896 +/- 11 bp  (complement)
   3      2       136068 +/- 11 bp  (complement)
   3      2       137076 +/- 11 bp  (complement)
   3      1       140892 +/- 11 bp  (complement)
   3      2       142176 +/- 11 bp  (complement)
   1      3       143712 +/- 11 bp  (complement)


--------------------
ABOUT THE MATRIX USED:



For details on the model building procedure see:
   Besemer J. and Borodovsky M.
   "Heuristic approach to deriving models for gene finding"
   NAR, 1999, Vol. 27, No. 19, pp. 3911-3920

